Area Code,Item Code,Element Code,Element Name,Num_2000,Symb_2000,Num_2001,Symb_2001,Num_2002,Symb_2002,Num_2003,Symb_2003,Num_2004,Symb_2004,Num_2005,Symb_2005
121,31,61,Imports - Qty (Mt),44997.000, ,38228.000, ,40739.000, ,49666.000, ,49218.000, ,47899.000, 
121,31,91,Exports - Qty (Mt),1882.000, ,905.000, ,2137.000, ,6174.000, ,3000.000, ,2181.000, 
121,32,61,Imports - Qty (Mt),480.000, ,257.000, ,106.000, ,190.000, ,20.000, ,181.000, 
121,32,91,Exports - Qty (Mt),0.000, ,0.000, ,0.000, ,1.000, ,3.000,P,24.000,P
121,34,61,Imports - Qty (Mt),78.000, ,3.000,*,1.000, ,3.000, ,29.000, ,8.000, 
121,34,91,Exports - Qty (Mt),21.000,*,8.000, ,10.000, ,17.000, ,29.000, ,29.000, 
121,35,61,Imports - Qty (Mt),0.000, ,0.000, ,1.000, ,0.000, ,0.000, ,0.000, 
121,35,91,Exports - Qty (Mt),0.000, ,0.000, ,0.000, ,0.000, ,3649.000, ,1576.000,P
121,38,41,Extr Rate (Hg/Mt),8000.000,C,8000.000,C,8000.000,C,8000.000,C,8000.000,C,8000.000,C
121,38,51,Production (Mt),304.000,C,229.600,C,84.800,C,151.200,C,13.600,C,125.600,C
121,38,61,Imports - Qty (Mt),68.000, ,82.000, ,203.000, ,271.000, ,233.000, ,332.000, 
121,38,91,Exports - Qty (Mt),9.000, ,2.000, ,1.000, ,2.000, ,0.000, ,1.000, 
121,41,41,Extr Rate (Hg/Mt),10000.000,C,10000.000,C,10000.000,C,10000.000,C,10000.000,C,10000.000,C
121,41,51,Production (Mt),0.000,M,0.000,M,0.000,M,598.000,C,898.600,C,1422.300,C
121,41,61,Imports - Qty (Mt),1129.000, ,827.000, ,1112.000, ,1093.000, ,1306.000, ,1501.000, 
121,41,91,Exports - Qty (Mt),606.000, ,655.000, ,1060.000, ,1560.000, ,2115.000, ,2882.000, 
121,51,41,Extr Rate (Hg/Mt),65000.000,C,65000.000,C,65000.000,C,65000.000,C,65000.000,C,65000.000,C
121,51,51,Production (Mt),12091.365,C,16936.920,C,16364.205,C,15353.651,C,23071.555,C,21263.385,C
121,51,61,Imports - Qty (Mt),7871.000, ,8762.000, ,8103.000, ,10138.000, ,12449.000, ,12941.000, 
121,51,91,Exports - Qty (Mt),145.000, ,169.000, ,596.000, ,1455.000, ,1942.000, ,2417.000, 
121,113,41,Extr Rate (Hg/Mt),10000.000,C,10000.000,C,10000.000,C,10000.000,C,10000.000,C,10000.000,C
121,113,51,Production (Mt),200.000,C,300.000,C,400.000,C,400.000,C,500.000,C,600.000,C
121,113,61,Imports - Qty (Mt),6.000,*,1.000, ,5.000, ,30.000, ,56.000, ,13.000, 
121,113,91,Exports - Qty (Mt),24.000, ,124.000, ,356.000, ,54.000, ,14.000, ,29.000, 
121,154,61,Imports - Qty (Mt),17.000, ,7.000, ,16.000, ,12.000, ,28.000, ,39.000, 
121,155,61,Imports - Qty (Mt),3.000, ,17.000, ,43.000, ,47.000, ,0.000, ,0.000,P
121,155,91,Exports - Qty (Mt),0.000, ,6.000, ,7.000, ,0.000, ,0.000,T,0.000,P
121,168,41,Extr Rate (Hg/Mt),15000.000,C,15000.000,C,15000.000,C,15000.000,C,15000.000,C,15000.000,C
121,168,51,Production (Mt),2400.000,C,2400.000,C,2400.000,C,2340.000,C,2250.000,C,2250.000,C
121,168,61,Imports - Qty (Mt),4063.000, ,4022.000, ,4358.000, ,4018.000, ,4056.000, ,4339.000, 
121,168,91,Exports - Qty (Mt),2771.000, ,3392.000, ,3357.000, ,3333.000, ,3551.000, ,3960.000, 
121,172,61,Imports - Qty (Mt),3538.000, ,3276.000, ,3852.000, ,3355.000, ,3345.000, ,4240.000, 
121,172,91,Exports - Qty (Mt),1.000, ,46.000, ,0.000, ,11.000, ,5.000, ,11.000, 
121,632,61,Imports - Qty (Mt),78.000,*,366.000, ,451.000, ,719.000, ,1009.000, ,1761.000, 
121,632,91,Exports - Qty (Mt),0.000, ,2.000, ,1.000, ,80.000, ,25.000, ,33.000, 
121,633,41,Extr Rate (Hg/Mt),50000.000,C,50000.000,C,50000.000,C,50000.000,C,50000.000,C,50000.000,C
121,633,51,Production (Mt),17685.000,C,16150.000,C,19260.000,C,34920.000,C,34200.000,C,38645.000,C
121,633,61,Imports - Qty (Mt),2297.000, ,4165.000, ,8534.000, ,8635.000, ,5381.000, ,4613.000, 
121,633,91,Exports - Qty (Mt),2812.000, ,5116.000, ,9952.000, ,30619.000, ,29197.000, ,35211.000, 
121,634,61,Imports - Qty (Mt),2732.000, ,4405.000, ,5866.000, ,5309.000, ,5649.000, ,4895.000, 
121,634,91,Exports - Qty (Mt),335.000, ,301.000, ,338.000, ,817.000, ,771.000, ,693.000, 
121,654,41,Extr Rate (Hg/Mt),3500.000,C,3500.000,C,3500.000,C,3500.000,C,3500.000,C,3500.000,C
121,654,51,Production (Mt),651.073,C,911.988,C,881.150,C,826.735,C,1242.314,C,1144.952,C
121,654,61,Imports - Qty (Mt),0.000,M,0.000,M,0.000,M,0.000,M,0.000,M,0.000,M
121,654,91,Exports - Qty (Mt),0.000,M,0.000,M,0.000,M,188.000, ,0.000, ,0.000, 
121,846,61,Imports - Qty (Mt),0.000,M,0.000,M,0.000,M,0.000,M,1.000, ,35.000, 
121,846,91,Exports - Qty (Mt),0.000,M,0.000,M,0.000,M,0.000,M,0.000,M,0.000,M
121,1242,61,Imports - Qty (Mt),2528.000, ,2176.000, ,1458.000, ,1173.000, ,1333.000, ,1243.000, 
121,1242,91,Exports - Qty (Mt),0.000, ,4.000,*,16.000, ,2.000, ,5.000, ,1.000, 
121,1275,61,Imports - Qty (Mt),5102.000, ,6485.000, ,3975.000, ,4286.000, ,5986.000, ,5839.000, 
121,1275,91,Exports - Qty (Mt),77.000, ,167.000,*,89.000, ,464.000, ,210.000, ,46.000, 
122,18,61,Imports - Qty (Mt),95.000,F,90.000,F,85.000,F,80.000,F,70.000,F,60.000,F
122,31,61,Imports - Qty (Mt),10000.000,F,10000.000,F,10000.000,F,9000.000,F,5070.000,P,15999.000,P
122,41,61,Imports - Qty (Mt),0.000,F,0.000,F,0.000,F,0.000,F,0.000,F,0.000,F
122,51,41,Extr Rate (Hg/Mt),60000.000,C,60000.000,C,60000.000,C,60000.000,C,60000.000,C,60000.000,C
122,51,51,Production (Mt),15000.000,C,15000.000,C,19692.000,C,19692.000,C,25200.000,C,25356.000,C
122,51,61,Imports - Qty (Mt),3100.000,F,3200.000,F,3250.000,F,2.000,P,11.000,P,37.000,P
122,113,61,Imports - Qty (Mt),2600.000,F,2650.000,F,2700.000,F,2750.000,F,2800.000,F,2850.000,F
122,168,61,Imports - Qty (Mt),3050.000,F,3100.000,F,3150.000,F,3200.000,F,3250.000,F,3300.000,F
122,633,61,Imports - Qty (Mt),7500.000,F,7700.000,F,7900.000,F,8000.000,F,8200.000,F,8300.000,F
122,634,61,Imports - Qty (Mt),1200.000,F,1300.000,F,1350.000,F,1400.000,F,1500.000,F,1550.000,F
122,1242,61,Imports - Qty (Mt),530.000,F,550.000,F,570.000,F,600.000,F,630.000,F,650.000,F
123,18,61,Imports - Qty (Mt),610.000,*,230.000,*,145.000,*,364.000,P,414.000,P,523.000,P
123,27,41,Yield (Hg/Ha),12780.487,C,11153.846,C,9166.667,C,8333.333,C,9166.667,C,12900.000,C
123,27,51,Production (Mt),183400.000, ,145000.000,*,110000.000,*,100000.000,*,110000.000,*,154800.000,*
123,27,61,Imports - Qty (Mt),0.000,T,0.000,T,0.000,T,0.000,P,0.000,T,698.000,P
123,28,41,Extr Rate (Hg/Mt),7000.000,C,7000.000,C,7000.000,C,7000.000,C,7000.000,C,7000.000,C
123,28,51,Production (Mt),89173.000,C,95165.000,C,61249.996,C,55300.000,C,61249.996,C,87971.312,C
123,28,61,Imports - Qty (Mt),350.000,*,30.000,*,1923.000,*,36.000,P,5680.000,P,72.000,P
123,31,61,Imports - Qty (Mt),80600.000,*,89600.000,*,100000.000,*,100000.000,*,100000.000,*,134611.000,P
123,31,91,Exports - Qty (Mt),0.000,T,2000.000,*,0.000,*,2000.000,P,2000.000,T,500.000,P
123,32,41,Extr Rate (Hg/Mt),10000.000,C,10000.000,C,10000.000,C,10000.000,C,10000.000,C,10000.000,C
123,32,51,Production (Mt),0.000,C,0.000,C,0.000,C,0.000,C,0.000,C,0.000,C
123,32,61,Imports - Qty (Mt),0.000,T,0.000,T,250.000,*,565.000,P,2515.000,P,16718.000,P
123,41,61,Imports - Qty (Mt),14400.000,*,2471.000,*,7142.000,*,20314.000,P,37317.000,P,48654.000,P
123,51,41,Extr Rate (Hg/Mt),65573.766,C,65151.516,C,65079.363,C,65045.590,C,65387.969,C,65201.730,C
123,51,51,Production (Mt),4000.000,F,4300.000,F,6150.000,F,6420.000,F,7500.000,F,9050.000,F
123,51,61,Imports - Qty (Mt),1500.000,*,800.000,*,884.000,*,835.000,P,1102.000,P,1446.000,P
123,51,91,Exports - Qty (Mt),0.000,T,0.000,F,0.000,*,0.000,T,0.000,T,0.000,T
123,168,61,Imports - Qty (Mt),300.000,*,280.000,*,388.000,*,987.000,P,1299.000,P,1057.000,P
123,168,91,Exports - Qty (Mt),0.000,T,0.000,T,0.000,T,0.000,P,0.000,T,7.000,P
123,633,61,Imports - Qty (Mt),1500.000,*,1200.000,*,891.000,*,1596.000,P,2053.000,P,3364.000,P
123,634,41,Extr Rate (Hg/Mt),1500.000,C,1500.000,C,1500.000,C,1500.000,C,1500.000,C,1500.000,C
123,634,51,Production (Mt),17460.000,C,17910.000,C,17910.000,C,17910.000,F,17910.000,F,17910.000,F
123,634,61,Imports - Qty (Mt),130.000,*,100.000,*,56.000,*,129.000,P,116.000,P,147.000,P
123,634,91,Exports - Qty (Mt),0.000,T,0.000,T,0.000,T,14.000,P,14.000,T,14.000,T
