Area Code,Item Code,Element Code,Element Name,Num_1995,Symb_1995,Num_1996,Symb_1996,Num_1997,Symb_1997,Num_1998,Symb_1998,Num_1999,Symb_1999,Num_2000,Symb_2000,Num_2001,Symb_2001,Num_2002,Symb_2002,Num_2003,Symb_2003,Num_2004,Symb_2004,Num_2005,Symb_2005,Num_2006,Symb_2006,Num_2007,Symb_2007
229,16,51,Production (Mt),4294000, ,4454000, ,4439000, ,4529000, ,4487000, ,4486000, ,4487000, ,4413000, ,4370000, ,4423000, ,4407000, ,4432800, ,4509100, 
229,19,41,Extr Rate (Hg/Mt),200,C,200,C,200,C,200,C,200,C,200,C,200,C,200,C,200,C,200,C,200,C,200,C,200,C
229,19,51,Production (Mt),106760,C,110019.992,C,110700.008,C,114140.008,C,113360,C,112339.992,C,113440,C,112560,C,112220.008,C,112000,C,112840,C,112314,C,113452,C
229,20,41,Extr Rate (Hg/Mt),12000,C,12000,C,12000,C,12000,C,12000,C,12000,C,12000,C,12000,C,0, ,0, ,0, ,12000,C,12000,C
229,20,51,Production (Mt),40800,C,42000,C,37200,C,20400,C,31200,C,33600,C,48000,C,16200,C,0, ,0, ,0, ,0,T,0,T
229,22,41,Extr Rate (Hg/Mt),10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C
229,22,51,Production (Mt),50000,C,87000,C,18000,C,0, ,0, ,0, ,0, ,0, ,0, ,0,T,0,T,0,T,0,T
230,16,41,Extr Rate (Hg/Mt),7800,C,7800,C,7800,C,7800,C,7800,C,7800,C,7800,C,7800,C,7800,C,7800,C,7800,C,7800,C,7800,C
230,16,51,Production (Mt),5314920,C,5797740,C,5492760,C,5245500,C,5132400,C,4699500,C,5253300,C,5214300,C,3837600,C,4687800,C,4742400,C,4430400,C,4368000,C
230,18,41,Extr Rate (Hg/Mt),10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C
230,18,51,Production (Mt),12000,C,12000,C,10000,C,15000,C,15000,C,10000,C,15000,C,15000,C,10000,C,10000,C,10000,C,10000,C,10000,C
230,19,41,Extr Rate (Hg/Mt),300,C,300,C,300,C,300,C,300,C,300,C,300,C,300,C,300,C,300,C,300,C,300,C,300,C
230,19,51,Production (Mt),204420,C,222990,C,211260,C,201750,C,197400,C,180750,C,202050,C,200550,C,147600,C,180300,C,182400,C,170400,C,168000,C
230,20,41,Extr Rate (Hg/Mt),10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C
230,20,51,Production (Mt),5000,C,2000,C,4000,C,10000,C,12000,C,12000,C,13000,C,12000,C,10000,C,10000,C,10000,C,10000,C,10000,C
230,22,41,Extr Rate (Hg/Mt),10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C,10000,C
230,22,51,Production (Mt),40000,C,40000,C,40000,C,45000,C,45000,C,40000,C,45000,C,45000,C,58000,C,75000,C,75000,C,75000,C,90000,C
231,16,41,Extr Rate (Hg/Mt),6616.851,C,7554.43,C,7608.534,C,7370.565,C,7485.579,C,7435.409,C,7375.987,C,7396.163,C,7426.416,C,7494.38,C,7445.95,C,7515.917,C,7556.621,C
231,16,51,Production (Mt),17630600, ,18043000, ,18332000, ,18094000, ,18687000, ,19109000, ,18348800, ,17903300, ,17972000, ,17868100, ,17915700, ,18297500, ,18998100, 
