HS 2007 code,HS 2007 title,HS 2012 code,HS 2012 title,FCL Item code,FCL Title,Last update: 12 May 2014
121490,- Other,121490,- Other,0859,Hay nes,
121490,- Other,121490,- Other,0205,Vetches,
121490,- Other,121490,- Other,0210,Lupins,
121490,- Other,121490,- Other,0636,Maize for forage,
121490,- Other,121490,- Other,0637,Sorghum for forage,
121490,- Other,121490,- Other,0638,Rye grass for forage,
121490,- Other,121490,- Other,0639,Grasses nes for forage,
121490,- Other,121490,- Other,0640,Clover for forage,
121490,- Other,121490,- Other,0641,Alfalfa for forage,
121490,- Other,121490,- Other,0642,Green oilseeds for silage,
121490,- Other,121490,- Other,0643,Legumes for silage,
121490,- Other,121490,- Other,0644,Cabbage for fodder,
121490,- Other,121490,- Other,0645,Pumpkins for fodder,
121490,- Other,121490,- Other,0646,Turnips for fodder,
121490,- Other,121490,- Other,0647,Beets for fodder,
121490,- Other,121490,- Other,0648,Carrots for fodder,
121490,- Other,121490,- Other,0649,Swedes for fodder,
121490,- Other,121490,- Other,0651,Forage Products nes,
121490,- Other,121490,- Other,0655,"Vegetables, roots fodder nes",
121490,- Other,121490,- Other,0857,"Hay, non leguminous",
130120,- Gum Arabic,130120,- Gum Arabic,1291,Arabic gum,
130190,- Other,130190,- Other,1292,Other resins,
130211,-- Opium,130211,-- Opium,1293,Crude Organic Materials nes,
130212,-- Of liquorice,130212,-- Of liquorice,1293,Crude Organic Materials nes,
130213,-- Of hops,130213,-- Of hops,1293,Crude Organic Materials nes,
130219,-- Other,130219,-- Other,1293,Crude Organic Materials nes,
130219,-- Other,130219,-- Other,0755,Pyrethrum Extract,
130220,"- Pectic substances, pectinates and pectates",130220,"- Pectic substances, pectinates and pectates",1293,Crude Organic Materials nes,
130231,-- Agar-Agar,130231,-- Agar-Agar,1293,Crude Organic Materials nes,
130232,"-- Mucilages and thickeners, whether or not modified, derived from Locust Beans, Locust bean Seeds or guar Seeds",130232,"-- Mucilages and thickeners, whether or not modified, derived from Locust Beans, Locust bean Seeds or guar Seeds",1293,Crude Organic Materials nes,
130239,-- Other,130239,-- Other,1293,Crude Organic Materials nes,
140110,- Bamboos,140110,- Bamboos,1293,Crude Organic Materials nes,
140420,- Cotton linters,140420,- Cotton linters,0770,Cotton Linters,
140490,- Other,140490,- Other,1293,Crude Organic Materials nes,
150100,"Pig fat (including lard) and poultry fat, other than that of heading 02.09 or 15.03.",150110,- Lard,1043,Lard,
150100,"Pig fat (including lard) and poultry fat, other than that of heading 02.09 or 15.03.",150120,- Other pig fat,1043,Lard,
150100,"Pig fat (including lard) and poultry fat, other than that of heading 02.09 or 15.03.",150190,- Other (fat of poultry),1066,"Fat of Poultry, Rendered",
150200,"Fats of bovine animals, sheep or goats, other than those of heading 15.03.",150210,- Tallow,1225,Tallow,
150200,"Fats of bovine animals, sheep or goats, other than those of heading 15.03.",150290,"- Other (Fats of bovine animals, sheep or goats, other than those of heading 15.03. and excluding Tallow)",0869,Fat of cattle,
150200,"Fats of bovine animals, sheep or goats, other than those of heading 15.03.",150290,"- Other (Fats of bovine animals, sheep or goats, other than those of heading 15.03. and excluding Tallow)",0871,"Cattle, Butcher Fat",
150200,"Fats of bovine animals, sheep or goats, other than those of heading 15.03.",150290,"- Other (Fats of bovine animals, sheep or goats, other than those of heading 15.03. and excluding Tallow)",0949,Fat of buffalo,
150200,"Fats of bovine animals, sheep or goats, other than those of heading 15.03.",150290,"- Other (Fats of bovine animals, sheep or goats, other than those of heading 15.03. and excluding Tallow)",0979,Fat of sheep,
150200,"Fats of bovine animals, sheep or goats, other than those of heading 15.03.",150290,"- Other (Fats of bovine animals, sheep or goats, other than those of heading 15.03. and excluding Tallow)",1019,Fat of goats,
150300,"Lard stearin, lard oil, oleostearin, oleo-oil and tallow oil, not emulsified or mixed or otherwise prepared.",150300,"Lard stearin, lard oil, oleostearin, oleo-oil and tallow oil, not emulsified or mixed or otherwise prepared.",1221,Lard Stearine and Lard Oil,
150410,- Fish-liver oils and their fractions,150410,- Fish-liver oils and their fractions,1223,Oil from Fish and Marine Mammals,
150420,"- Fats and oils and their fractions, of fish, other than liver oils",150420,"- Fats and oils and their fractions, of fish, other than liver oils",1223,Oil from Fish and Marine Mammals,
150430,"- Fats and oils and their fractions, of marine mammals",150430,"- Fats and oils and their fractions, of marine mammals",1223,Oil from Fish and Marine Mammals,
150500,Wool grease and fatty substances derived therefrom (including lanolin).,150500,Wool grease and fatty substances derived therefrom (including lanolin).,0994,Wool Grease and Lanolin,
150600,"Other animal fats and oils and their fractions, whether or not refined, but not chemically modified.",150600,"Other animal fats and oils and their fractions, whether or not refined, but not chemically modified.",1129,Fat of camels,
150600,"Other animal fats and oils and their fractions, whether or not refined, but not chemically modified.",150600,"Other animal fats and oils and their fractions, whether or not refined, but not chemically modified.",1160,Fat of other camelids,
150600,"Other animal fats and oils and their fractions, whether or not refined, but not chemically modified.",150600,"Other animal fats and oils and their fractions, whether or not refined, but not chemically modified.",1168,Animal Oils and Fats nes,
150710,"- Crude oil, whether or not degummed",150710,"- Crude oil, whether or not degummed",0237,Oil of Soybeans,
150790,- Other,150790,- Other,0237,Oil of Soybeans,
150810,- Crude oil,150810,- Crude oil,0244,Oil of Groundnuts,
150890,- Other,150890,- Other,0244,Oil of Groundnuts,
150910,- Virgin,150910,- Virgin,0261,"Oil of Olives, Virgin",
150990,- Other,150990,- Other,0340,Oil of Vegetable Origin nes,
151000,"Other oils and their fractions, obtained solely from olives, whether or not refined, but not chemically modified, including blends of these oils or fractions with oils or fractions of heading 15.09.",151000,"Other oils and their fractions, obtained solely from olives, whether or not refined, but not chemically modified, including blends of these oils or fractions with oils or fractions of heading 15.09.",0274,Oil of Olive Residues,
151110,- Crude oil,151110,- Crude oil,0257,Oil of palm,
151190,- Other,151190,- Other,0257,Oil of palm,
151211,-- Crude oil,151211,-- Crude oil,0268,Oil of Sunflower Seed,
151211,-- Crude oil,151211,-- Crude oil,0281,Oil of Safflower Seed,
151219,-- Other,151219,-- Other,0268,Oil of Sunflower Seed,
151219,-- Other,151219,-- Other,0281,Oil of Safflower Seed,
151221,"-- Crude oil, whether or not gossypol has been removed",151221,"-- Crude oil, whether or not gossypol has been removed",0331,Oil of Cottonseed,
151229,-- Other,151229,-- Other,0331,Oil of Cottonseed,
151311,-- Crude oil,151311,-- Crude oil,0252,Oil of Coconuts,
151319,-- Other,151319,-- Other,0252,Oil of Coconuts,
151321,-- Crude oil,151321,-- Crude oil,0258,Oil of Palm Kernel,
151329,-- Other,151329,-- Other,0258,Oil of Palm Kernel,
151411,-- Crude oil,151411,-- Crude oil,0271,Oil of Rapeseed or Canola oil,
151419,-- Other,151419,-- Other,0271,Oil of Rapeseed or Canola oil,
151491,-- Crude oil,151491,-- Crude oil,0271,Oil of Rapeseed or Canola oil,
151491,-- Crude oil,151491,-- Crude oil,0293,Oil of Mustard Seed,
151499,-- Other,151499,-- Other,0271,Oil of Rapeseed or Canola oil,
151499,-- Other,151499,-- Other,0293,Oil of Mustard Seed,
151511,-- Crude oil,151511,-- Crude oil,0334,Oil of Linseed,
151519,-- Other,151519,-- Other,0334,Oil of Linseed,
151521,-- Crude oil,151521,-- Crude oil,0060,Oil of Maize,
151529,-- Other,151529,-- Other,0060,Oil of Maize,
151530,- Castor oil and its fractions,151530,- Castor oil and its fractions,0266,Oil of Castor Beans,
151550,- Sesame oil and its fractions,151550,- Sesame oil and its fractions,0290,Oil of Sesame Seed,
151590,- Other,151590,- Other,0264,Butter of Karite Nuts,
151590,- Other,151590,- Other,0276,Oil of Tung Nuts,
151590,- Other,151590,- Other,0278,Jojoba Oil,
151590,- Other,151590,- Other,0297,Oil of Poppy Seed,
151590,- Other,151590,- Other,0306,Vegetable tallow,
151590,- Other,151590,- Other,0307,Stillingia oil,
151590,- Other,151590,- Other,0036,Oil of Rice Bran,
151590,- Other,151590,- Other,0313,Oil of Kapok,
151590,- Other,151590,- Other,0337,Oil of Hempseed,
151590,- Other,151590,- Other,0340,Oil of Vegetable Origin nes,
151610,- Animal fats and oils and their fractions,151610,- Animal fats and oils and their fractions,1243,Fat Preparations nes,
151610,- Animal fats and oils and their fractions,151610,- Animal fats and oils and their fractions,1275,Hydrogenated Oils and Fats,
151620,- Vegetable fats and oils and their fractions,151620,- Vegetable fats and oils and their fractions,1243,Fat Preparations nes,
151620,- Vegetable fats and oils and their fractions,151620,- Vegetable fats and oils and their fractions,1273,"Castor Oil, Hydrogenated",
151620,- Vegetable fats and oils and their fractions,151620,- Vegetable fats and oils and their fractions,1275,Hydrogenated Oils and Fats,
151710,"- Margarine, excluding liquid margarine",151710,"- Margarine, excluding liquid margarine",1242,Margarine and Shortening,
